Article #,PMID,PMCID,Cancer Type,Title,DOI,ICGC Program,Abstract Summary,Full-Text Summary,space_clean
Article 1,25798586,PMC4370594,Mesothelioma,Personalized oncogenomics: clinical experience with malignant peritoneal mesothelioma using whole genome sequencing,https://doi.org/10.1371/journal.pone.0119689,POG,"Peritoneal mesothelioma is a rare cancer in the belly that is hard to find and hard to treat well. Researchers closely studied cancer cells from two people with this disease using detailed gene tests. These tests looked at all the genes in the cancer cells and how those genes were turned on or off. The gene results were then shared with doctors to help guide each person’s treatment plan. Later, the team checked how well the treatments worked and compared this with the gene changes they had seen. Several known cancer gene changes were found in these tumors, which may help explain how the cancer grows. Both patients’ cancer cells also showed signs that a certain growth signal path was turned on. One patient’s cancer had many more gene changes than usual, 434 compared with 18, and this person did better than expected. These findings add new knowledge about how this rare belly cancer starts and behaves over time. They may help doctors design better tests and more personal treatment plans in the future for people with this cancer.","Peritoneal mesothelioma is a rare cancer that starts in the lining of the belly area and nearby organs. Researchers closely studied two women with this cancer to look for gene changes in their tumor cells. They used detailed lab tests on tumor samples and blood to read all the DNA in the cancer cells. Both women had changes in genes that normally act as brakes on cell growth, which may help the cancer grow. In both cases, a growth signal called MET was very active, which may be driving cancer cell growth. One woman had only 18 single-letter DNA changes in her tumor and had fast disease growth and poor response to treatment. The other woman had 434 such changes, had a strong response to chemotherapy, and was well 14 months later. This large number of changes is called a “hypermutated” pattern and may be linked to better treatment response. These findings suggest that the number and type of gene changes may help predict how this cancer behaves. In the future, detailed gene testing may help guide drug choices and surgery plans for people with this rare cancer.",25798586
Article 2,27022066,PMC4843189,Colorectal,Response to angiotensin blockade with irbesartan in a patient with metastatic colorectal cancer,https://doi.org/10.1093/annonc/mdw060,POG,"A person with advanced colon cancer had tumors that spread and did not respond to usual drugs or radiation. The cancer also caused strong side effects from standard care, so other treatment ideas were needed. Researchers read all the genetic code from one of the spreading tumors. They looked for gene changes and gene activity that might point to a new drug target. The tumor showed very high activity in a group of genes that can drive cell growth. This pattern suggested that blocking a body system that controls blood pressure might also slow the cancer. Researchers chose a common blood pressure drug called irbesartan and used it as a cancer treatment. After starting irbesartan, the person had a very strong and long-lasting tumor shrinkage. This case shows that deep genetic testing can sometimes reveal new drug uses for one person’s cancer. In the future, such testing may help doctors match some patients to unexpected, more personal treatment options.","A woman with advanced colon cancer had tumors that kept coming back after surgery, chemo, and radiation. Doctors took a sample of her tumor and read all of its DNA and active genes in great detail. They found many gene changes and very high activity in two genes that help cancer cells grow and survive. These genes are part of a chain of signals in the cell that can be turned down by a blood pressure drug. Researchers chose the drug irbesartan, which blocks this signal chain and has shown cancer blocking effects in lab work. She started taking 150 milligrams of irbesartan by mouth each day in December 2014. Before treatment, a blood test for tumor marker was 18, which was higher than the normal limit of 5. After five weeks on irbesartan, this marker dropped to 3.1, which is in the normal range. Scans also showed that signs of active cancer almost completely went away and stayed gone for at least 10 months. This case suggests that reading the full cancer DNA and active genes can sometimes point to useful older drugs. With more careful testing, this type of gene based matching might help some people with hard to treat cancers.",27022066
Article 3,32859912,PMC7455744,pan-cancer,Sex differences in oncogenic mutational processes,https://doi.org/10.1038/s41586-024-07368-2,,"Cancer can act in different ways in men and women, even outside sex organs like the breast or prostate. Researchers studied the full set of genes in 1,983 tumors from 28 cancer types. They looked for links between sex and gene changes that drive cancer growth. They checked both parts of genes that make proteins and parts that do not make proteins. They found several clear differences between men and women in these cancer gene changes. Some cancer driving changes were more common in one sex than the other. They also saw sex differences in how often certain gene changes appeared in tumors. Patterns of damage in DNA, called mutation signs, also differed between men and women. These results show that sex based molecular differences in cancer are wide spread and important. Paying closer attention to sex in cancer lab work may improve how cancers are understood and treated in the future.","Cancer often behaves differently in men and women, even when it does not involve sex organs. Researchers studied the full DNA from 1,983 tumours from 28 cancer types in men and women. They looked for sex differences in many kinds of DNA changes, including both “important” genes and the large spaces between them. Some key cancer genes were changed more often in tumours from men, such as in liver and thyroid cancers. Across all cancers, tumours from men usually had more DNA mutations than tumours from women. In liver and kidney cancers, this higher mutation load in men was seen in both gene and non‑gene regions. Tumours from men and women also showed different patterns of larger DNA gains and losses, and these patterns varied by cancer type. Certain kinds of mutation “signatures,” which hint at how damage happens, were more common in one sex than the other. These findings suggest that cancer in men and women can grow and change in different ways at the DNA level. In the future, this type of work may help guide sex‑aware cancer research and treatment choices.",32859912
Article 4,32958763,PMC7505971,Pan-cancer,Retrospective evaluation of whole exome and genome mutation calls in 746 cancer samples,https://doi.org/10.1038/s41467-020-18151-y,,"Cancer cells often carry many DNA changes that help them grow and spread. Researchers compared two major DNA scan methods that read either the whole genome or only the parts that make proteins. They looked at 746 cancer samples and checked how often the two methods found the same DNA changes. About 80% of the DNA changes in protein‑making regions were found by both methods. The whole genome method found about half again as many changes in these regions as the smaller scan. It also found extra changes in hard‑to‑read DNA areas that the smaller scan often missed. Some changes were seen only by one method because the cancer cells were mixed and not all had the same change. Other changes were missed because only one computer tool picked them up in earlier work. These results show that each DNA scan has limits, even when both are done carefully and in the same cancers. The work may guide doctors and labs when they choose which DNA test to use for cancer care in the future.","Cancer cells often carry many DNA changes, called mutations, that can be read in different ways. Researchers compared two common lab methods that read cancer DNA: one that scans only genes and one that scans the whole genome. They looked at 746 tumor samples and checked how often the two methods agreed on the same mutations. About 80 out of 100 gene-area mutations were found by both methods, showing strong agreement where coverage was good. Around 90 out of 100 samples had at least 80 percent of their gene mutations matched between the two methods. Most differences came from mutations that were rare within the tumor, choices about which calls to filter out, and some technical limits. The whole genome method also found about 700 extra mutations in known cancer genes, often in hard-to-read DNA regions. These results suggest both methods are reliable for many cancer questions, but each can miss some important changes. As whole genome tests become cheaper, they may help doctors see more of the cancer DNA picture in each patient.",32958763
Article 5,34650974,PMC8505672,Breast,"Integrated Analysis of Copy Number Variation, Microsatellite Instability, and Tumor Mutation Burden Identifies an 11-Gene Signature Predicting Survival in Breast Cancer",https://doi.org/10.3389/fcell.2021.721505,BRCA-KR,"People with breast cancer can have different gene changes that affect how their disease behaves and responds to care. Researchers used large cancer data sets to study three kinds of gene changes in breast tumors. They grouped patients into two main groups based on these gene changes in their tumors. The two groups had clear differences in survival, gene changes, and the mix of immune cells around the tumor. One group had a worse outlook and fewer gene changes of a certain type linked to many mutations. From these groups, researchers found 130 genes that were turned on or off in different ways. They then built a risk score based on 11 of these genes to predict patient outlook. They checked how well this 11‑gene score could predict outcomes using standard math tests. They also tested the score in a second, separate group of breast cancer patients. The 11‑gene score showed strong promise for telling which patients might do better or worse over time. In the future, this type of gene‑based risk score might help doctors plan more personal care for breast cancer.","Breast cancer is very common and can be deadly, especially when it has spread in the body. Researchers studied over 1,000 breast tumors to see how certain gene changes link to patient survival. They grouped the tumors into two gene types and compared stages of cancer and patient deaths. One group had more advanced cancers and more deaths, showing a clearly worse outlook over time. This group also had fewer gene changes of a certain kind, called mutation burden, than the better-outcome group. Researchers then looked at 130 genes that differed between the two groups and picked 11 linked to survival. They built a risk score using these 11 genes and split patients into high and low risk groups. People in the high risk group died more often, and the score predicted 1, 3, and 5 year survival well. The score also worked in a second group of 50 breast cancer patients from another database. A chart that combines this gene score with basic clinical facts may help doctors estimate a person’s outlook. If confirmed in more patients, this kind of gene-based risk tool could guide follow-up and treatment choices.",34650974
Article 6,35257510,PMC9161328,Pan-cancer,The impact of whole genome and transcriptome analysis (WGTA) on predictive biomarker discovery and diagnostic accuracy of advanced malignancies,https://doi.org/10.1002/cjp2.265,POG,"People with advanced cancer often need better tests to guide treatment and confirm where the cancer started. Researchers used a broad DNA and gene activity test on 652 cancer samples from many body sites. They made reports that listed key gene changes and also predicted the body site where each cancer began. Two cancer experts then reviewed these reports along with medical history and lab slides from the tumors. In most cases, the cancer type from this new test matched the earlier lab diagnosis, about 94 out of 100 cases. In a few cases, the new test led to a change in the cancer type or did not add clear help. All 15 cancers that were hard to name before were given a clear cancer type by this test. The test also found gene changes linked to approved targeted drugs in 39 cases, about 6 percent. Using newer drug rules from 2021, that number rose to 103 cases, about 16 percent. This kind of broad gene test may help doctors choose drugs and better tell where a cancer started. Work is now aimed at making this test cheaper and more useful for everyday cancer care.","Cancer doctors often need to know exactly where a tumor started and which drugs might work best. Researchers used a very detailed gene test, called whole genome and transcriptome analysis, on 652 people with advanced cancer. They compared these gene results with usual lab tests and medical records to check cancer type and drug options. At the time of testing, this deep gene test found drug targets already linked to approved treatments in 39 people, or 6%. Using newer 2021 treatment rules, that number rose to 103 people, or 16%. In 389 cancers checked, the gene test agreed with the original diagnosis in 94% of cases. In 15 people where doctors could not tell where the cancer started, the gene test was able to name a likely cancer type every time. These new answers were used to guide more tests, treatment plans, and talks with patients about their disease. These results suggest that broad gene testing can help confirm cancer type and uncover extra treatment options for some people with hard‑to‑treat cancers.",35257510
Article 7,35483882,PMC9059790,Adrenocortical ,Whole-genome and transcriptome analysis of advanced adrenocortical cancer highlights multiple alterations affecting epigenome and DNA repair pathways,https://doi.org/10.1101/mcs.a006148,POG,"Cancer of the adrenal gland, called adrenocortical cancer, is rare and often hard to treat well. Researchers studied tumor samples from seven people whose cancer had spread to other parts of the body. They read all the DNA and activity messages in these tumors to look for key gene changes. They found several main gene changes that seem to drive this cancer, but treatment choices remain very limited. Many tumors had damage in genes that control cell growth and genes that fix broken DNA. Some tumors also had changes in genes that protect the ends of chromosomes, which help cells stay stable. A test that looks for a pattern of DNA damage found that some tumors could not repair DNA well. Other tumors showed changes in genes that control how DNA is packed and read inside the cell. These weak spots in DNA repair and DNA control may be used as targets for new cancer drugs. In the future, people with this rare cancer might get lab tests to match them with more exact, gene-based treatments.","Adrenocortical cancer is a rare cancer that starts in the adrenal gland above the kidney. Many people already have spread of the cancer when it is found, and long‑term survival is low. Usual drugs, including standard chemotherapy and a hormone‑blocking drug, often do not work well for this cancer. Researchers closely studied the DNA and gene activity of tumors from seven people with advanced disease. They looked for gene changes that drive cancer growth and for weak spots that new drugs might target. They found common damage in genes that control cell growth, DNA repair, and how DNA is packed and read in cells. Changes in several DNA repair genes suggested that four of the seven cancers had trouble fixing DNA damage. Two tumors showed a clear pattern of poor DNA repair, and one patient stayed stable for 8.5 months on a repair‑targeting drug. Some tumors also showed signs that drugs aimed at cell cycle control or certain gene‑reading proteins might help. These results suggest that careful gene testing may help match some people with this rare cancer to more tailored treatments.",35483882
Article 8,35547260,PMC9081437,Prostate,Identification of Neoantigens and Construction of Immune Subtypes in Prostate Adenocarcinoma,https://doi.org/10.3389/fgene.2022.886983,,"Men with prostate gland cancer need better treatment choices that can target their tumors more exactly. Researchers used large cancer data sets to look for tumor markers that could guide a new type of shot called an mRNA vaccine. They studied gene activity and health records from men with prostate gland cancer in two big public groups of patients. Seven tumor markers were linked with worse survival and with immune cells that can show tumor parts to the immune system. The seven markers may work as targets for future mRNA vaccines against prostate gland cancer. The team also found five immune types of this cancer, each with different cell and health features. Two types, called C3 and C5, had many immune cells around the tumor, but these cells were held back from fighting. Two other types, C1 and C2, had few immune cells near the tumor and may respond better to a vaccine. The full immune picture showed that patients with this cancer can be very different from each other. These results suggest that mRNA vaccines for prostate gland cancer may work best in people with C1 and C2 types.","Prostate adenocarcinoma is a common cancer in men, and many patients still die even after standard treatment. Researchers looked for targets in prostate tumors that could be used to make a new type of cancer shot called an mRNA vaccine. They studied gene activity and changes in tumor samples from 643 men with this cancer. Seven tumor markers were linked to shorter survival and to strong contact with certain immune cells in the tumor. These seven markers may help the immune system see and attack prostate cancer cells when used in a vaccine. Researchers also grouped tumors into five immune types, called C1 to C5, based on immune gene patterns. Men with C1 and C2 tumors lived longer and had lower blood markers of aggressive disease than other groups. C1 and C2 tumors had more gene changes that may help the immune system react to an mRNA vaccine. C3 and C5 tumors showed signs of a blocked immune state, which might limit vaccine benefit. Overall, C1 and C2 patients appear to be the best candidates for future prostate mRNA vaccines.",35547260
Article 9,35847938,PMC9280271,Colorectal,A Transcription Factor Signature Can Identify the CMS4 Subtype and Stratify the Prognostic Risk of Colorectal Cancer,https://doi.org/10.3389/fonc.2022.902974,,"Colon cancer can act in many different ways, and current group systems do not sort patients by risk very well. Researchers used large cancer gene data to build a new risk tool based on nine key control genes. They compared one hard to treat colon cancer type with other types to find gene changes linked to worse disease. They then built a network map of these genes to pick the most important ones for the risk tool. The tool was tested in two large groups of people with colon cancer, with 351 and 565 patients. People placed in the high risk group by this tool had much shorter survival than those in the low risk group. This link with poor survival stayed strong even when age and other health details were taken into account. The tool predicted outcome better than other gene tools, with a score of 0.65 versus 0.51 to 0.57. High risk tumors showed signs of a weak body defense space around the cancer, with strong shut down signals. These signs suggest many high risk patients may not gain much from some new immune drugs. This new risk tool may help doctors sort colon cancer patients and plan more personal care in the future.","Colon cancer is common and deadly, and people with the same stage can still have very different outcomes. Researchers studied over 1,500 people with colon cancer to find gene patterns linked to higher or lower risk. They focused on one very aggressive tumor type, called CMS4, which has the worst survival among four main types. From many genes, they picked nine key “control” genes and built a risk score called TF-9. Each patient’s tumor got a TF-9 score, then people were split into high-risk and low-risk groups by the middle score. People in the high-risk group lived for a shorter time and had cancer come back more often than low-risk people. This result stayed true even when age, stage, and other clinical factors were taken into account. TF-9 predicted survival better than three other gene-based risk tools, with a higher accuracy score of 0.65. High-risk tumors showed signs of a “shut down” immune system and high levels of three immune markers. These markers suggest that common immune drugs may not work well, but other immune targets might help some patients. TF-9 may help doctors sort patients by risk and guide treatment choices more exactly in the future.",35847938
Article 10,35949260,PMC7613262,Pan-cancer,Substitution mutational signatures in whole-genome-sequenced cancers in the UK population,https://doi.org/10.1126/science.abl9283,,"Cancer cells carry many DNA changes, like spelling mistakes in a long book of instructions. Researchers read the full DNA code from over 12,000 people with cancer and matched normal tissue. They also compared these results with DNA data from more than 18,000 other cancers from two large groups. By looking at patterns in these DNA changes, they found 40 new common patterns and 18 new paired patterns. Each pattern, or “signature,” can point to a type of damage or repair problem in the cancer cells. In each organ, most cancers shared only a few common patterns, plus many rare patterns that showed up less often. Researchers also suggested a clear way to sort and use these common and rare patterns in later work. These patterns may help explain how a person’s cancer started and how it keeps growing. In the future, this kind of pattern reading might guide more exact tests and treatment choices for some patients.","Cancer cells collect many DNA changes over time, like spelling mistakes in a long book of instructions. Researchers read the full DNA from over 18,000 cancers from many organs using a broad lab test called whole‑genome sequencing. They looked for repeat patterns in these DNA changes, called “signatures,” which can point to damage from things like sunlight or smoking. They studied 19 kinds of cancer, including lung, breast, bowel, brain, kidney, and blood cancers. For each organ, they found a small set of common signatures and a long list of rare ones. Across all cancers, they confirmed 42 known single‑letter patterns and 9 known double‑letter patterns. They also discovered 40 new single‑letter and 18 new double‑letter patterns that had not been seen before. Some signatures match known causes, such as tobacco smoke, ultraviolet light, certain drugs, or problems in DNA repair systems. These patterns can reveal hidden weaknesses in how a tumor repairs DNA, even when gene tests do not show a clear cause. Such repair problems may help doctors choose treatments like immune drugs or drugs that target broken repair pathways. Researchers also built a step‑by‑step computer method to help doctors and scientists spot common and rare signatures in new patients.",35949260
