pmid,pmcid,evidence_id,section,paragraph_number,citation_label,text,used_in_summary
31918748,6953283,E1,Abstract,1,"Abstract, para. 1","Colorectal cancer is the most common cancer in Hong Kong. Oxaliplatin-based chemotherapy is a major first-line conventional therapy for advanced and metastatic colorectal cancer. However, oxaliplatin causes chemotherapy-induced peripheral neuropathy (CIPN). Acupuncture has long been used to alleviate limb numbness in Chinese medicine. This study aims to examine the efficacy and safety of acupuncture for alleviating CIPN in patients with colorectal cancer in Hong Kong.",True
31918748,6953283,E2,Abstract,2,"Abstract, para. 2","This is a single-blinded, randomized, sham-controlled efficacy trial. Eighty-four eligible patients, who are Hong Kong Chinese, aged ≥ 18 years, diagnosed with colorectal cancer and undergoing oxaliplatin-based chemotherapy, will be randomized in a ratio of 1:1 to the electro-acupuncture group or the sham-controlled group. During a 12-week treatment period, patients in the electro-acupuncture group will undergo electro-acupuncture once a week from the first cycle of chemotherapy, while patients in the control group will receive sham acupuncture, and the patients in both groups will be followed up for 12 weeks. The primary outcome measure is the Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity (FACT/GOC-Ntx) questionnaire. The secondary outcome measures include numerical rating scale (NRS) for numbness/pain, vibration and light touch sense test, the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-C30 (EORTC QLQ-C30) and Constitution of Chinese Medicine Questionnaire (CCMQ).",True
31918748,6953283,E3,Abstract,3,"Abstract, para. 3",The study will compare electro-acupuncture with sham acupuncture to explore the feasibility for electro-acupuncture in improving symptoms caused by chemotherapy-induced peripheral neuropathy.,True
31918748,6953283,E4,Abstract,4,"Abstract, para. 4","Clinicaltrials.gov, NCT03582423 . Registered on 11 July 2018.",False
31918748,6953283,E5,Introduction,1,"Introduction, para. 1","Colorectal cancer is the most common cancer in Hong Kong. In 2016, there were 5437 new cases and 2089 patients died due to colorectal cancer. The crude death rate from colorectal cancer in Hong Kong was reported as 28.5 per 100,000 [ 1 ]. Current conventional therapies include surgery, chemotherapy, radiotherapy, targeted therapy, and immunotherapy. Surgery is the most common treatment for all stages of colorectal cancer and patients with advanced stage cancer are usually given chemotherapy or radiotherapy to kill any possible remaining cancer cells. Oxaliplatin-based chemotherapy, regimens such as FOLFOX with or without (±) bevacizumab, CapeOX ± bevacizumab or FOLFOX ± panitumumab (KRAS wild type gene only), is one of the major first-line treatments for advanced or metastatic colorectal cancer [ 2 ]. However, 90% of patients with oxaliplatin develop acute chemotherapy-induced peripheral neuropathy (CIPN) [ 3 ], which occurs in 68.3% patients within 2.5 ± 1.1 (mean ± standard deviation) chemotherapy cycles [ 4 ]. Symptoms include paresthesia and dysesthesia of the hands, feet and perioral area, induced by cold stimuli [ 5 ]. About 30–50% of patients develop chronic CIPN after repetition of chemotherapy cycles [ 3 ] and its symptoms include paresthesia, numbness, sensory ataxia, functional deficits and pain. The mechanism of CIPN is complicated. Cytokine and chemokine binding are one of its possibilities. Chemotherapeutic agents enhance release of cytokines (e.g. TNF-α, IL-1β) and binding of chemokines to their receptors located on neurons and glial cells , which contributes to increased sensation of pain [ 6 ]. Although symptoms induced by CINP are not vegetative, coasting effect is observed, meaning that the symptoms continue to develop and progress for several months after the therapy, and a maximum duration of 8 years was documented [ 5 ]. Decrease in the levels of pro-inflammatory cytokines TNF-α, IL-1α, IL-1β induced by electro-acupuncture is thought to be related to its analgesic effect and thus its possibility to treat CINP.",True
31918748,6953283,E6,Introduction,2,"Introduction, para. 2","According to traditional Chinese medicine theory, CIPN is similar to Xue Bi (血痹), which means pain and numbness in the extremities [ 6 ]. Herbal medicine and acupuncture are common treatments for Xue Bi . Systematic reviews of the CIPN found that the effectiveness of current treatments (including natural products and complementary therapies) are still unknown and only vitamin E is shown to possibly help alleviate CIPN [ 7 , 8 ]. The current studies of acupuncture in CIPN vary in the use of different cancer and anti-cancer drugs such as taxanes for breast cancer [ 9 ], bortezomib and thalidomide for multiple myeloma [ 10 ], and a mix of neurotoxic anticancer drugs [ 11 ]. However, studies of acupuncture for oxaliplatin-induced peripheral neuropathy are rare and there has been no randomized controlled trial [ 12 ]. Therefore, we designed this study for a single-blinded, randomized controlled clinical trial to explore the efficacy and safety of acupuncture in relieving CIPN.",True
31918748,6953283,E7,Introduction,3,"Introduction, para. 3",The aim of this study is to assess the efficacy and safety of electro-acupuncture compared to sham acupuncture in alleviating CINP in patients with colorectal cancer.,False
31918748,6953283,E8,Methods,1,"Methods, para. 1","This is a single-blinded, randomized, sham-controlled efficacy trial on electro-acupuncture for alleviating symptoms of chemotherapy-induced peripheral neuropathy in patients with colorectal cancer. A total of 84 candidates will be recruited in this study. They will be assigned randomly into either the electro-acupuncture or sham-control group. Both groups will be given a total of 12 sessions of interventions, with 1 session per week. They will then be followed up regularly for up to 12 weeks after the completion of the intervention. The Functional Assessment of Cancer Therapy/Gynecology Oncology Group-Neurotoxicity (FACT/GOG-Ntx) questionnaire (Additional file 1 ) will be used as the primary outcome measure. The questionnaire will be completed before the start of the study to provide a baseline score. The score will be obtained on a weekly basis during the intervention and every 3 weeks during the follow-up period, constituting a total of 24 weeks (Fig. 1 ). This study protocol has been approved by Hong Kong Baptist University Ethics Committee on the Use of Human Subjects for Teaching and Research (approval number HASC/17–18/C05) and Hospital Authority Kowloon West Custer Research Ethics Committee(KWC REC) (approval number KW/FR-18-041(121–01)) and registered in ClinicalTrials.gov ( NCT03582423 ). The Standards for reporting interventions in controlled trials of acupuncture (STRICTA) 2010 [ 13 ] checklist for items is given in Table 1 . Fig. 1 Participant flow diagram. CIPN, chemotherapy-induced peripheral neuropathy Table 1 Checklists for items in STRICTA 2010 Item Detail • Acupuncture rationale 1a) Style of acupuncture According to systematic reviews and clinical experiences of our principal investigator and co-investigators. Manual and electro-acupuncture based on traditional Chinese medicine theory 1b) Reason for treatment provided, based on historical context, literature sources, and /or consensus methods, with references where appropriate 1c) Extent to which treatment was varied: Standard treatment is used. No variation of treatment among patients • Details of needling 2a) Number of needle insertions per subject per session (mean and range where relevant): 28 needles 2b) Names (or location if no standard name) of points used (uni/bilateral) he gu 合谷(LI4), nei guan 內關(PC6), qu chi 曲池(LI12), ba xie 八邪(EX-UE9), zu san li 足三里(ST36), san yin jiao 三陰交(SP6), tai chung 太衝(LV3), ba feng 八風(EX-LE10) 2c) Depth of insertions, based on a specified unit of measurement or on a particular tissue level: 10–25 mm 2d) Response sought (e.g. de qi or muscle twitch response): De qi 2e) Needle stimulation (e.g. manual, electrical): Manual and electrical - continuous waves at 2 Hz 2f) Needle retention time: 25 min 2 g) Needle type (diameter, length and manufacturer or material): Disposable acupuncture needles (verum acupuncture needles Hwato 0.25 × 0.25 mm matching the Streiterger sham needles) • Treatment regimen 3a) Number of treatment sessions: 12 sessions 3b) Frequency and duration of treatment sessions: Acupuncture will start after the day of 1st chemotherapy cycle 1/week for 12 consecutive weeks even if the chemotherapy is stopped • Other components of treatment 4a) Details of other interventions administered to acupuncture group (e.g. moxibustion, cupping, herbs, exercise, lifestyle advice): No other intervention 4b) Setting and context of treatment, including instructions to practitioners, and information and explanations to patients: Chinese Medicine Clinic cum Training and Research Centre Patients will be informed about acupuncture treatment in the study as follows: “in this study, acupoints for CINP will be used based on related reports and clinical experience of our investigators.” • Practitioner background 5) Description of participating acupuncturists (qualification or professional affiliation, years in acupuncture practice, other relevant experience): Hong Kong registered Chinese medicine practitioners with at least 3 years of clinical experience and scholarship training in Chinese medicine oncology of Hong Kong Hospital Authority, who have undergone training and are able to provide identical acupuncture treatment in accordance with a predefined protocol • Control or comparator interventions 6a) Rationale for the control or comparator in the context of the research question, with source that justify this choice: To assess the efficacy and safety of electro-acupuncture compared to sham acupuncture 6b) Precise description of the control or comparator. If sham acupuncture or any other type of acupuncture-like control is used, provide details as for items 1 to 3 above Style of acupuncture Sham acupuncture Number of needle insertions per subjects per session: 28 Sham needles at the same acupoints as the treatment group Depth of insertion: Needles are only adhered to the skin Needle retention time: 25 min Needle type Streitberger’s non-invasive acupuncture needles (gauge 8 × 1.2″/ 0.30 × 0.30 mm) Number of treatment sessions: 12 sessions Frequency and duration of treatment sessions: 1/week for 12 consecutive weeks This checklist, which should be read in conjunction with the explanations of the Standards for reporting interventions in controlled trials of acupuncture (STRICTA) items, is designed to replace item 5 in the Consolidated standards of reporting trials (CONSORT) 2010 when reporting an acupuncture trial The study design also follows the Standard Protocol Items: Recommendations for Interventional Trials (SPIRIT) Checklist (Additional file 7 ).",True
31918748,6953283,E9,Methods,2,"Methods, para. 2",Patients with colorectal cancer who are to receive oxaliplatin-based chemotherapy and do not have any pre-existing peripheral neuropathy will be recruited. The study is conducted in the Yan Chai Hospital cum Hong Kong Baptist University Chinese Medicine Clinic cum Training and Research Centre (Ha Kwai Chung).,True
31918748,6953283,E10,Methods,3,"Methods, para. 3","Patients will be eligible for the study if they: Are aged ≥ 18 years old Are newly diagnosed with stage II–IV colorectal cancer Are to receive eight cycles of adjuvant oxaliplatin-based chemotherapy Having not received any acupuncture in the previous 3 months, and have life expectancy ≥ 6 months",True
